bankTxnId,txnDate,utrNumber,amount,narration
IND-01,2026-08-01,AXISN24230192837,100000.00,NEFT/AXISN24230192837/INV-2024-1001/TECHCORP/FULL-SETTLEMENT/MUMBAI-BR
IND-02,2026-08-02,HDFCR5202608151234,117600.00,RTGS/HDFCR5202608151234/BLUESKY-LOGISTICS/INV-2024-1005/TDS-2PCT-194C/NET-SETTLE
IND-03,2026-08-03,UTIB556677889,85500.00,NEFT//UTIB556677889//KORE-NETWORKS//INV-2024-1008//TDS-10PCT-194J//EXP-RECON
IND-04,2026-08-03,BARB445566778,304000.00,RTGS/BARB445566778/NOVA-INFOTECH/INV-2024-1007/TDS-5PCT-194H/COMMISSION-RETAINER
IND-05,2026-08-04,KKBK998811223,499500.00,RTGS/KKBK998811223/TITAN-MANUFACTURING/INV-2024-5001/TDS-194Q-0.1PCT/RAW-MATERIAL
IND-06,2026-08-04,YESB112244668,160000.00,NEFT-HIGHRISK-INV-2024-5003-SEC206AB-PENALTY-20PCT-DED
IND-07,2026-08-05,YESBN33445566,183050.85,YESB/RTGS/INFOSYS/INV-2024-2001/CBDT-CIRCULAR-23-TDS-ON-BASE-ONLY-10PCT
IND-08,2026-08-05,AXISP99001122,109900.00,PG-SETTL/RAZORPAY/PAYTM/INV-2024-2014/NET-PAYOUT-LESS-WIRE-FEE-100
IND-09,2026-08-06,INDBN77889900,122450.00,INDB/NEFT/SWIGGY/INV-2024-2008/TDS-2PCT-PLUS-WIRE-CHG-50-COMBO
IND-10,2026-08-06,BARBN44556677,225000.00,BARB-CMS-CONSOLIDATED-INV-2024-1006-AND-INV-2024-1009-SPLIT-PMT
IND-11,2026-08-07,CITIN11002299,441000.00,CITI-CORP/TATA-CONSULTANCY/INV-2024-2004/RULE-HISTORICAL-CONTRACT-2PCT
IND-12,2026-08-07,HSBCN99221100,274400.00,HSBC/NEFT/WIPRO/INV-2024-2006/RETAINER-MONTHLY-SETTL-2PCT
IND-13,2026-08-08,UPI623910928374,90000.00,UPI/623910928374/CR/INV-2024-2009/ZOMATO@ICICI/FAST-SETTLE
IND-14,2026-08-08,CITIN994433221,144000.00,FT-INDB-OCR-INVOICE-1NV-2O24-3OO1-HEXAWAVE-SERVICES-DEPT
IND-15,2026-08-09,CITIN994433222,88200.00,FT-INDB-OCR-INVOICE-2O24-3OO2-DELTA-REGIONAL-OFFICE
IND-16,2026-08-09,CITIN994433223,189000.00,FT-INDB-OCR-INVOICE-2O24-3OO4-OMNISECURE-CENTRAL-PAYMENT
IND-17,2026-08-10,KOTAK99881122,76000.00,SWIGGY BUNDL TECH DELIVERY LOGISTICS SETTLEMENT AUGUST INV-2024-2007
IND-18,2026-08-10,AMZN881122334,173250.00,AMZN-MARKETPLACE-SETTLEMENT-INV-2024-2015-LESS-1PCT-TCS-SEC52
IND-19,2026-08-11,SBIN009988771,294000.00,ONGC-FIN-CORP/INV-2024-2003/TDS-2PCT-194C-CONTRACT/DEHRADUN
IND-20,2026-08-11,ICICIN1188223,360000.00,RELIANCE-RETAIL-CORP-INV-2024-2010-MONTHLY-TDS-194J-10PCT
IND-21,2026-08-12,AXISN991100223,82000.00,NEFT-INV-2024-4001-DISPUTED-CORP-SHORTAGE
IND-22,2026-08-12,HDFCN992211883,215000.00,NEFT-INV-2024-4002-FAULTY-DEDUCTIONS-EXCESS
IND-23,2026-08-13,KKBK776655441,412000.00,NEFT-UNREGISTERED-OVERSEAS-SUPPLIER-INV-9999-REMITTANCE
IND-24,2026-08-13,UPI998877665544,33333.00,UPI-TRANSFER-UNKNOWN-REF-NO-MATCH-99238
IND-25,2026-08-13,AXISN24230192837,100000.00,NEFT/AXISN24230192837/INV-2024-1001/TECHCORP/FULL-SETTLEMENT/MUMBAI-BR
