Transaction ID,Date,Account Type,Transaction Amount,Cash Flow,Net Income,Revenue,Expenditure,Profit Margin,Debt-to-Equity Ratio,Operating Expenses,Gross Profit,Transaction Volume,Processing Time (seconds),Accuracy Score,Missing Data Indicator,Normalized Transaction Amount,Transaction Outcome
TXN_0001,2026-01-02,Expense,430475,-430475,-120533,482132,430475,-25,0.43,172190,51657,2,0.22,0.95,0,0.3419,1
TXN_0002,2026-01-03,Asset,558461,111692,67015,223384,111692,30,0.56,44677,111692,3,0.29,0.98,0,0.4447,1
TXN_0003,2026-01-04,Liability,694317,-104148,-229125,208295,312443,-110,0.69,124977,-104148,4,0.36,0.93,0,0.5539,1
TXN_0004,2026-01-05,Revenue,830736,830736,144548,830736,490134,17.4,0.82,196054,340602,5,0.43,0.96,0,0.6635,1
TXN_0005,2026-01-06,Expense,959598,-959598,-191919,1151518,959598,-16.67,0.95,383839,191920,6,0.5,0.99,0,0.767,1
TXN_0006,2026-01-07,Asset,1072682,214536,128723,429073,214536,30,1.08,85814,214537,7,0.57,0.94,0,0.8579,1
TXN_0007,2026-01-08,Liability,1162416,-174362,-383597,348725,523087,-110,1.21,209235,-174362,8,0.64,0.97,0,0.93,1
TXN_0008,2026-01-09,Revenue,1222594,1222594,144266,1222594,770234,11.8,1.34,308094,452360,9,0.71,0.92,0,0.9783,1
TXN_0009,2026-01-10,Expense,1248964,-1248964,-149876,1598674,1248964,-9.38,1.47,499586,349710,10,0.78,0.95,0,0.9995,1
TXN_0010,2026-01-11,Asset,1239644,247929,148757,495858,247929,30,1.6,99172,247929,11,0.85,0.98,0,0.992,1
TXN_0011,2026-01-12,Liability,1195301,-179295,-394449,358590,537885,-110,1.73,215154,-179295,12,0.92,0.93,0,0.9564,1
TXN_0012,2026-01-13,Revenue,1119086,1119086,69383,1119086,749788,6.2,1.86,299915,369298,13,0.99,0.96,0,0.8952,1
TXN_0013,2026-01-14,Expense,1016333,-1016333,-40653,1382213,1016333,-2.94,1.99,406533,365880,14,1.06,0.99,0,0.8126,1
TXN_0014,2026-01-15,Asset,894040,178808,107285,357616,178808,30,2.12,71523,178808,15,1.13,0.94,0,0.7144,1
TXN_0015,2026-01-16,Liability,760210,-114032,-250870,228063,342095,-110,2.25,136838,-114032,16,1.2,0.97,0,0.6068,1
TXN_0016,2026-01-17,Revenue,623107,623107,3739,623107,442406,0.6,0.38,176962,180701,17,1.27,0.92,0,0.4967,1
TXN_0017,2026-01-18,Expense,490509,-490509,19620,706333,490509,2.78,0.51,196204,215824,18,1.34,0.95,0,0.3901,1
TXN_0018,2026-01-19,Asset,369053,73811,44286,147621,73811,30,0.64,29524,73810,19,1.41,0.98,0,0.2925,1
TXN_0019,2026-01-20,Liability,263714,-39557,-87025,79114,118671,-110,0.77,47468,-39557,20,1.48,0.93,0,0.2079,1
TXN_0020,2026-01-21,Revenue,177501,177501,-8875,177501,133126,-5,0.9,53250,44375,21,1.55,0.96,0,0.1386,1
TXN_0021,2026-01-22,Expense,111364,-111364,-31182,124728,111364,-25,1.03,44546,13364,22,1.62,0.99,0,0.0855,1
TXN_0022,2026-01-23,Asset,64350,12870,7722,25740,12870,30,1.16,5148,12870,23,1.69,0.94,0,0.0477,1
TXN_0023,2026-01-24,Liability,33956,-5093,-11205,10187,15280,-109.99,1.29,6112,-5093,24,1.76,0.97,0,0.0233,1
TXN_0024,2026-01-25,Revenue,16640,16640,-1764,16640,13146,-10.6,1.42,5258,3494,25,1.83,0.92,0,0.0094,1
TXN_0025,2026-01-26,Expense,8432,-8432,-1687,10118,8432,-16.67,1.55,3373,1686,26,1.9,0.95,0,0.0028,1
TXN_0026,2026-01-27,Asset,5561,1112,667,2224,1112,29.99,1.68,445,1112,27,1.97,0.98,0,0.0005,1
TXN_0027,2026-01-28,Liability,5017,-753,-1656,1505,2258,-110.03,1.81,903,-753,28,2.04,0.93,0,0,1
TXN_0028,2026-01-29,Revenue,5000,5000,940,5000,2900,18.8,1.94,1160,2100,29,2.11,0.96,0,0,1
TXN_0029,2026-01-30,Expense,5173,-5173,-621,6621,5173,-9.38,2.07,2069,1448,30,2.18,0.99,0,0.0001,1
TXN_0030,2026-01-31,Asset,6713,1343,805,2685,1343,29.98,2.2,537,1342,31,2.25,0.94,0,0.0014,1
TXN_0031,2026-02-01,Liability,12142,-1821,-4007,3643,5464,-109.99,0.33,2186,-1821,32,2.32,0.97,0,0.0057,1
TXN_0032,2026-02-02,Revenue,24960,24960,3295,24960,15475,13.2,0.46,6190,9485,33,2.39,0.92,0,0.016,1
TXN_0033,2026-02-03,Expense,49125,-49125,-1965,66810,49125,-2.94,0.59,19650,17685,34,2.46,0.95,0,0.0355,1
TXN_0034,2026-02-04,Asset,88445,17689,10613,35378,17689,30,0.72,7076,17689,35,2.53,0.98,0,0.067,1
TXN_0035,2026-02-05,Liability,145951,-21893,-48164,43785,65678,-110,0.85,26271,-21893,36,2.6,0.93,0,0.1133,1
TXN_0036,2026-02-06,Revenue,223332,223332,16973,223332,147399,7.6,0.98,58960,75933,37,2.67,0.96,0,0.1754,1
TXN_0037,2026-02-07,Expense,320507,-320507,12820,461530,320507,2.78,1.11,128203,141023,38,2.74,0.99,0,0.2535,1
TXN_0038,2026-02-08,Asset,435374,87075,52245,174150,87075,30,1.24,34830,87075,39,2.81,0.94,0,0.3458,1
TXN_0039,2026-02-09,Liability,563800,-84570,-186054,169140,253710,-110,1.37,101484,-84570,40,2.88,0.97,0,0.449,1
TXN_0040,2026-02-10,Revenue,699827,699827,13996,699827,489879,2,1.5,195952,209948,41,2.95,0.92,0,0.5583,1
TXN_0041,2026-02-11,Expense,836102,-836102,-234109,936434,836102,-25,1.63,334441,100332,42,3.02,0.95,0,0.6678,1
TXN_0042,2026-02-12,Asset,964489,192898,115739,385796,192898,30,1.76,77159,192898,43,3.09,0.98,0,0.771,1
TXN_0043,2026-02-13,Liability,1076775,-161516,-355336,323033,484549,-110,1.89,193820,-161516,44,3.16,0.93,0,0.8612,1
TXN_0044,2026-02-14,Revenue,1165433,1165433,-41955,1165433,862420,-3.6,2.02,344968,303013,45,3.23,0.96,0,0.9324,1
TXN_0045,2026-02-15,Expense,1224322,-1224322,-244865,1469186,1224322,-16.67,2.15,489729,244864,1,3.3,0.99,0,0.9797,1
TXN_0046,2026-02-16,Asset,1249281,249856,149914,499712,249856,30,2.28,99942,249856,2,3.37,0.94,0,0.9998,1
TXN_0047,2026-02-17,Liability,1238527,-185779,-408714,371558,557337,-110,0.41,222935,-185779,3,3.44,0.97,1,0.9912,1
TXN_0048,2026-02-18,Revenue,1192830,1192830,-109740,1192830,930407,-9.2,0.54,372163,262423,4,3.51,0.92,0,0.9544,1
TXN_0049,2026-02-19,Expense,1115436,-1115436,-133852,1427758,1115436,-9.37,0.67,446174,312322,5,3.58,0.95,0,0.8922,1
TXN_0050,2026-02-20,Asset,1011756,202351,121411,404702,202351,30,0.8,80940,202351,6,0.15,0.98,0,0.8089,1
TXN_0051,2026-02-21,Liability,888842,-133326,-293318,266653,399979,-110,0.93,159992,-133326,7,0.22,0.93,0,0.7102,1
TXN_0052,2026-02-22,Revenue,754723,754723,152454,754723,430192,20.2,1.06,172077,324531,8,0.29,0.96,0,0.6024,1
TXN_0053,2026-02-23,Expense,617656,-617656,-24706,840012,617656,-2.94,1.19,247062,222356,9,0.36,0.99,0,0.4923,1
TXN_0054,2026-02-24,Asset,485387,97077,58247,194155,97077,30,1.32,38831,97078,10,0.43,0.94,0,0.386,1
TXN_0055,2026-02-25,Liability,364493,-54674,-120283,109348,164022,-110,1.45,65609,-54674,11,0.5,0.97,0,0.2889,1
TXN_0056,2026-02-26,Revenue,259877,259877,37942,259877,158525,14.6,1.58,63410,101352,12,0.57,0.92,0,0.2048,1
TXN_0057,2026-02-27,Expense,174464,-174464,6978,251228,174464,2.78,1.71,69786,76764,13,0.64,0.95,0,0.1362,1
TXN_0058,2026-02-28,Asset,109123,21825,13094,43649,21825,30,1.84,8730,21824,14,0.71,0.98,0,0.0837,1
TXN_0059,2026-03-01,Liability,62833,-9425,-20735,18850,28275,-110,1.97,11310,-9425,15,0.78,0.93,0,0.0465,1
TXN_0060,2026-03-02,Revenue,33036,33036,2974,33036,21473,9,2.1,8589,11563,16,0.85,0.96,0,0.0225,1
TXN_0061,2026-03-03,Expense,16162,-16162,-4526,18101,16162,-25,2.23,6465,1939,17,0.92,0.99,0,0.009,1
TXN_0062,2026-03-04,Asset,8238,1648,988,3295,1648,29.98,0.36,659,1647,18,0.99,0.94,0,0.0026,1
TXN_0063,2026-03-05,Liability,5511,-827,-1819,1653,2480,-110.04,0.49,992,-827,19,1.06,0.97,0,0.0004,1
TXN_0064,2026-03-06,Revenue,5014,5014,170,5014,3460,3.39,0.62,1384,1554,20,1.13,0.92,0,0,1
TXN_0065,2026-03-07,Expense,5001,-5001,-1000,6001,5001,-16.66,0.75,2000,1000,21,1.2,0.95,0,0,1
TXN_0066,2026-03-08,Asset,5196,1039,623,2078,1039,29.98,0.88,416,1039,22,1.27,0.98,0,0.0002,1
TXN_0067,2026-03-09,Liability,6835,-1025,-2255,2051,3076,-109.95,1.01,1230,-1025,23,1.34,0.93,0,0.0015,1
