Date,Narration,Credit,UTR
2026-01-02,"NEFT/AXIS/TATA-CONSULTANCY-SERVICES/INV-KAG-0001/LESS-2PCT-TDS/UTR-AXISN488342390000",421865.5,AXISN488342390000
2026-01-03,"NEFT/HDFC/INFOSYS-BPM-LTD/INV-KAG-0002/LESS-10PCT-TDS/UTR-HDFCN488342410001",502614.9,HDFCN488342410001
2026-01-04,"NEFT/ICICI/RELIANCE-RETAIL-LTD/INV-KAG-0003/LESS-5PCT-TDS/UTR-ICICIN488342420002",659601.15,ICICIN488342420002
2026-01-05,"NEFT/SBI/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0004/LESS-10PCT-TDS/UTR-SBIN488342430003",760334.64,SBIN488342430003
2026-01-06,"RTGS/KOTAK/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0005/FULL-PAYMENT/KOTAKN488342440004",959598,KOTAKN488342440004
2026-01-07,"NEFT/INDUSIND/LARSEN-TOUBRO-INFOTECH/INV-KAG-0006/LESS-2PCT-TDS/UTR-INDUSINDN488342450005",1051228.36,INDUSINDN488342450005
2026-01-08,"NEFT/AXIS/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0007/LESS-10PCT-TDS/UTR-AXISN488342460006",1046174.4,AXISN488342460006
2026-01-09,"NEFT/HDFC/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0008/LESS-5PCT-TDS/UTR-HDFCN488342470007",1161464.3,HDFCN488342470007
2026-01-10,"NEFT/ICICI/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0009/LESS-10PCT-TDS/UTR-ICICIN488342480008",1143119.59,ICICIN488342480008
2026-01-11,"RTGS/SBI/FLIPKART-INDIA-INTERNET/INV-KAG-0010/FULL-PAYMENT/SBIN488342490009",1239644,SBIN488342490009
2026-01-12,"NEFT/KOTAK/TATA-CONSULTANCY-SERVICES/INV-KAG-0011/LESS-2PCT-TDS/UTR-KOTAKN488342500010",1171394.98,KOTAKN488342500010
2026-01-13,"NEFT/INDUSIND/INFOSYS-BPM-LTD/INV-KAG-0012/LESS-10PCT-TDS/UTR-INDUSINDN488342510011",1007177.4,INDUSINDN488342510011
2026-01-14,"NEFT/AXIS/RELIANCE-RETAIL-LTD/INV-KAG-0013/LESS-5PCT-TDS/UTR-AXISN488342520012",965516.35,AXISN488342520012
2026-01-15,"NEFT/HDFC/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0014/LESS-10PCT-TDS/UTR-HDFCN488342530013",818273.9,HDFCN488342530013
2026-01-16,"SETTL/ICICI/WIRE-FEE-NETTED/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0015/ICICIN488342540014",759960,ICICIN488342540014
