Invoice Number,Customer Name,Total Amount,Base Amount,Tax Amount,TDS Section,TDS Rate,Issue Date,Status
INV-KAG-0001,"Tata Consultancy Services",430475,364809.32,65665.68,194C,2,2026-01-02,UNPAID
INV-KAG-0002,"Infosys BPM Ltd",558461,473272.03,85188.97,194J,10,2026-01-03,UNPAID
INV-KAG-0003,"Reliance Retail Ltd",694317,588404.24,105912.76,194H,5,2026-01-04,UNPAID
INV-KAG-0004,"Bharti Airtel Enterprise",830736,704013.56,126722.44,194J,10,2026-01-05,UNPAID
INV-KAG-0005,"HCL Technologies Pvt Ltd",959598,813218.64,146379.36,NONE,0,2026-01-06,UNPAID
INV-KAG-0006,"Larsen & Toubro Infotech",1072682,909052.54,163629.46,194C,2,2026-01-07,UNPAID
INV-KAG-0007,"Swiggy Bundl Technologies",1162416,985098.31,177317.69,194J,10,2026-01-08,UNPAID
INV-KAG-0008,"Zomato Media Logistics",1222594,1036096.61,186497.39,194H,5,2026-01-09,UNPAID
INV-KAG-0009,"Razorpay Software Pvt Ltd",1248964,1058444.07,190519.93,194J,10,2026-01-10,UNPAID
INV-KAG-0010,"Flipkart India Internet",1239644,1050545.76,189098.24,NONE,0,2026-01-11,UNPAID
INV-KAG-0011,"Tata Consultancy Services",1195301,1012966.95,182334.05,194C,2,2026-01-12,UNPAID
INV-KAG-0012,"Infosys BPM Ltd",1119086,948377.97,170708.03,194J,10,2026-01-13,UNPAID
INV-KAG-0013,"Reliance Retail Ltd",1016333,861299.15,155033.85,194H,5,2026-01-14,UNPAID
INV-KAG-0014,"Bharti Airtel Enterprise",894040,757661.02,136378.98,194J,10,2026-01-15,UNPAID
INV-KAG-0015,"HCL Technologies Pvt Ltd",760210,644245.76,115964.24,NONE,0,2026-01-16,UNPAID
INV-KAG-0016,"Larsen & Toubro Infotech",623107,528056.78,95050.22,194C,2,2026-01-17,UNPAID
INV-KAG-0017,"Swiggy Bundl Technologies",490509,415685.59,74823.41,194J,10,2026-01-18,UNPAID
INV-KAG-0018,"Zomato Media Logistics",369053,312756.78,56296.22,194H,5,2026-01-19,UNPAID
INV-KAG-0019,"Razorpay Software Pvt Ltd",263714,223486.44,40227.56,194J,10,2026-01-20,UNPAID
INV-KAG-0020,"Flipkart India Internet",177501,150424.58,27076.42,NONE,0,2026-01-21,UNPAID
INV-KAG-0021,"Tata Consultancy Services",111364,94376.27,16987.73,194C,2,2026-01-22,UNPAID
INV-KAG-0022,"Infosys BPM Ltd",64350,54533.9,9816.1,194J,10,2026-01-23,UNPAID
INV-KAG-0023,"Reliance Retail Ltd",33956,28776.27,5179.73,194H,5,2026-01-24,UNPAID
INV-KAG-0024,"Bharti Airtel Enterprise",16640,14101.69,2538.31,194J,10,2026-01-25,UNPAID
INV-KAG-0025,"HCL Technologies Pvt Ltd",8432,7145.76,1286.24,NONE,0,2026-01-26,UNPAID
INV-KAG-0026,"Larsen & Toubro Infotech",5561,4712.71,848.29,194C,2,2026-01-27,UNPAID
